No,Inglés ,Español ,Genero,Inventores,No. De inventore/Patente,Mujeres/Patente,Hombres/Patente,Register IMPI,Fecha de presentación ,TAE (Año),Estatus ,No. Inventores/Proyecto ,No. Hombres/Proyecto,No. Mujeres/Proyecto ,Número de ideas / Proyecto ,Aportación complementaria a sueldos y salarios / Proyecto,Servicios Externos y comerciales ,Servicios del IMPI,Monto total aprobado / Proyecto,N. de cesiones 
59.00,Interchargeable Connectivity Modules ,Modulos de Conectividad Intercambiable ,H,Zúñiga Flores Alejandro ,4.00,0.00,4.00,Mx/a/2016/013231,07/10/2016,2016,Abandonada,61.00,56.00,5.00,24.00,"$1,149,750.00","$425,250.00",$0.00,"$1,575,000.00",74.00
59.00,Interchargeable Connectivity Modules ,Modulos de Conectividad Intercambiable ,H,Filpigh Jorge Enrique ,4.00,0.00,4.00,Mx/a/2016/013231,07/10/2016,2016,Abandonada,61.00,56.00,5.00,24.00,"$1,149,750.00","$425,250.00",$0.00,"$1,575,000.00",74.00
60.00,OBD on Cloud System for Data Analysis,Sistema OBD Vitual para Análisis de Datos ,H,Lopez Garcia Shadai Rafael ,1.00,0.00,1.00,MX/a/2017/002334,21/02/2017,2016,Abandonada,61.00,56.00,5.00,24.00,"$1,149,750.00","$425,250.00",$0.00,"$1,575,000.00",74.00
61.00,Vehícule Lights Burned Out Identification System ,Sistema de Identificación e Luces Averiadas de Vehículo ,H,Jacobo Solórzano Mario Eduardo ,3.00,0.00,3.00,MX/a/2017/002522,24/02/2017,2016,Abandonada,61.00,56.00,5.00,24.00,"$1,149,750.00","$425,250.00",$0.00,"$1,575,000.00",74.00
61.00,Vehícule Lights Burned Out Identification System ,Sistema de Identificación e Luces Averiadas de Vehículo ,H,Lepe Cortes Jorge Luis ,3.00,0.00,3.00,MX/a/2017/002522,24/02/2017,2016,Abandonada,61.00,56.00,5.00,24.00,"$1,149,750.00","$425,250.00",$0.00,"$1,575,000.00",74.00
61.00,Vehícule Lights Burned Out Identification System ,Sistema de Identificación e Luces Averiadas de Vehículo ,H,Santana Hernández José Luis,3.00,0.00,3.00,MX/a/2017/002522,24/02/2017,2016,Abandonada,61.00,56.00,5.00,24.00,"$1,149,750.00","$425,250.00",$0.00,"$1,575,000.00",74.00
62.00,Visual & Sensory Stimulus for Hearing Impaired People,Estímulo Visual y Sensorial para Personas con Problemas Auditivos ,H,Gonzalez de la Cruz Libertad,2.00,0.00,2.00,MX/a/2017/002521,24/02/2017,2016,Abandonada,61.00,56.00,5.00,24.00,"$1,149,750.00","$425,250.00",$0.00,"$1,575,000.00",74.00
62.00,Visual & Sensory Stimulus for Hearing Impaired People,Estímulo Visual y Sensorial para Personas con Problemas Auditivos ,H,Silvia Padilla Jesús Eduardo ,2.00,0.00,2.00,MX/a/2017/002521,24/02/2017,2016,Abandonada,61.00,56.00,5.00,24.00,"$1,149,750.00","$425,250.00",$0.00,"$1,575,000.00",74.00
63.00,Calculation of Most Efective Route By Real-Time Traffic Data UAV (drone) ,Cálculo de la Ruta más Efectiva por Medio de Datos de Tráfico en Tiempo Real Desde un Vehíuclo Aéreo no Tripulado ,H,Garcia Gonzalez Luis Samahi,3.00,1.00,2.00,MX/a/2017/002525,24/02/2017,2016,Abandonada,61.00,56.00,5.00,24.00,"$1,149,750.00","$425,250.00",$0.00,"$1,575,000.00",74.00
63.00,Calculation of Most Efective Route By Real-Time Traffic Data UAV (drone) ,Cálculo de la Ruta más Efectiva por Medio de Datos de Tráfico en Tiempo Real Desde un Vehíuclo Aéreo no Tripulado ,H,Gonzalez Jaime Adan Efrain ,3.00,1.00,2.00,MX/a/2017/002525,24/02/2017,2016,Abandonada,61.00,56.00,5.00,24.00,"$1,149,750.00","$425,250.00",$0.00,"$1,575,000.00",74.00
63.00,Calculation of Most Efective Route By Real-Time Traffic Data UAV (drone) ,Cálculo de la Ruta más Efectiva por Medio de Datos de Tráfico en Tiempo Real Desde un Vehíuclo Aéreo no Tripulado ,M,Castillo Rivas Victoria ,3.00,1.00,2.00,MX/a/2017/002525,24/02/2017,2016,Abandonada,61.00,56.00,5.00,24.00,"$1,149,750.00","$425,250.00",$0.00,"$1,575,000.00",74.00
64.00,Low Side Drive With Admustable Current Contol Energy Recirculation and Storage ,"Controlador de Lado Bajo con Control de Corriente Ajustable, Recirculacuón de Energía y Almacenamiento ",H,Sánchez Gonzalez Izcoatl Emmanuel ,2.00,0.00,2.00,MX/a/2017/002523,24/02/2017,2016,Abandonada,61.00,56.00,5.00,24.00,"$1,149,750.00","$425,250.00",$0.00,"$1,575,000.00",74.00
64.00,Low Side Drive With Admustable Current Contol Energy Recirculation and Storage ,"Controlador de Lado Bajo con Control de Corriente Ajustable, Recirculacuón de Energía y Almacenamiento ",H,Cárdenas Ruvalcaba Roberto Baruch,2.00,0.00,2.00,MX/a/2017/002523,24/02/2017,2016,Abandonada,61.00,56.00,5.00,24.00,"$1,149,750.00","$425,250.00",$0.00,"$1,575,000.00",74.00
65.00,Use of Recirculation Energy for Cooling,Uso de Recirculación de Energía para Enfriamiento ,H,Aguilera Cortés Antonio ,2.00,0.00,2.00,MX/a/2017/002528,24/02/2017,2016,Abandonada,61.00,56.00,5.00,24.00,"$1,149,750.00","$425,250.00",$0.00,"$1,575,000.00",74.00
65.00,Use of Recirculation Energy for Cooling,Uso de Recirculación de Energía para Enfriamiento ,H,Ortiz Aguilar Jesús ,2.00,0.00,2.00,MX/a/2017/002528,24/02/2017,2016,Abandonada,61.00,56.00,5.00,24.00,"$1,149,750.00","$425,250.00",$0.00,"$1,575,000.00",74.00
66.00,Mulit-User Smart-Profile Detection ,Detección Multi-Usuario de Perfil Inteligente ,H,Aguirre Ramos Francisco Javier ,4.00,0.00,4.00,MX/a/2017/002527,24/02/2017,2016,Abandonada,61.00,56.00,5.00,24.00,"$1,149,750.00","$425,250.00",$0.00,"$1,575,000.00",74.00
66.00,Mulit-User Smart-Profile Detection ,Detección Multi-Usuario de Perfil Inteligente ,H,Cibrian Covarrubias Ernesto,4.00,0.00,4.00,MX/a/2017/002527,24/02/2017,2016,Abandonada,61.00,56.00,5.00,24.00,"$1,149,750.00","$425,250.00",$0.00,"$1,575,000.00",74.00
66.00,Mulit-User Smart-Profile Detection ,Detección Multi-Usuario de Perfil Inteligente ,H,Cuesta Claros Manuel Enrique,4.00,0.00,4.00,MX/a/2017/002527,24/02/2017,2016,Abandonada,61.00,56.00,5.00,24.00,"$1,149,750.00","$425,250.00",$0.00,"$1,575,000.00",74.00
66.00,Mulit-User Smart-Profile Detection ,Detección Multi-Usuario de Perfil Inteligente ,H,Herrera Martinez Carlos Alberto,4.00,0.00,4.00,MX/a/2017/002527,24/02/2017,2016,Abandonada,61.00,56.00,5.00,24.00,"$1,149,750.00","$425,250.00",$0.00,"$1,575,000.00",74.00
67.00,Security Wheels,Aseguramiento de Ruedas ,H,Navaro Lora Cesar Ricardo ,3.00,0.00,3.00,MX/a/2017/002526,24/02/2017,2016,Abandonada,61.00,56.00,5.00,24.00,"$1,149,750.00","$425,250.00",$0.00,"$1,575,000.00",74.00
67.00,Security Wheels,Aseguramiento de Ruedas ,H,Lopez Godinez Juan Carlos ,3.00,0.00,3.00,MX/a/2017/002526,24/02/2017,2016,Abandonada,61.00,56.00,5.00,24.00,"$1,149,750.00","$425,250.00",$0.00,"$1,575,000.00",74.00
67.00,Security Wheels,Aseguramiento de Ruedas ,H,Vargas Godinez Carlos Daniel ,3.00,0.00,3.00,MX/a/2017/002526,24/02/2017,2016,Abandonada,61.00,56.00,5.00,24.00,"$1,149,750.00","$425,250.00",$0.00,"$1,575,000.00",74.00
68.00,System Alert Of Other Drivers With Dangeros Driving Habits ,Sistema de Alerta de Otro Conductores con Habitos de Manejo Peligroso ,H,Alvaro Castro Martinez ,6.00,1.00,5.00,MX/a/2017/002335,21/02/2017,2017,Abandonada,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
68.00,System Alert Of Other Drivers With Dangeros Driving Habits ,Sistema de Alerta de Otro Conductores con Habitos de Manejo Peligroso ,H,Daniel Cebreros Carrion,6.00,1.00,5.00,MX/a/2017/002335,21/02/2017,2017,Abandonada,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
68.00,System Alert Of Other Drivers With Dangeros Driving Habits ,Sistema de Alerta de Otro Conductores con Habitos de Manejo Peligroso ,H,Severiano Cuellas Vazquez,6.00,1.00,5.00,MX/a/2017/002335,21/02/2017,2017,Abandonada,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
68.00,System Alert Of Other Drivers With Dangeros Driving Habits ,Sistema de Alerta de Otro Conductores con Habitos de Manejo Peligroso ,H,Mauricio Saavedra Garcia,6.00,1.00,5.00,MX/a/2017/002335,21/02/2017,2017,Abandonada,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
68.00,System Alert Of Other Drivers With Dangeros Driving Habits ,Sistema de Alerta de Otro Conductores con Habitos de Manejo Peligroso ,M,Olivia Magaña Flores ,6.00,1.00,5.00,MX/a/2017/002335,21/02/2017,2017,Abandonada,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
68.00,System Alert Of Other Drivers With Dangeros Driving Habits ,Sistema de Alerta de Otro Conductores con Habitos de Manejo Peligroso ,H,Martin Leon Preciado ,6.00,1.00,5.00,MX/a/2017/002335,21/02/2017,2017,Abandonada,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
69.00,Health/Medical Emergency Asisance for Self Driving Cars ,Asistencia de Emergencia de Salud/Médica para Vehículos Autónomos,H,Fernando Luevanos Peña ,3.00,1.00,2.00,MX/a/2017/015436,30/11/2017,2017,Abandonada,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
69.00,Health/Medical Emergency Asisance for Self Driving Cars ,Asistencia de Emergencia de Salud/Médica para Vehículos Autónomos,M,Maria Isamar Saldaña Gálvez ,3.00,1.00,2.00,MX/a/2017/015436,30/11/2017,2017,Abandonada,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
69.00,Health/Medical Emergency Asisance for Self Driving Cars ,Asistencia de Emergencia de Salud/Médica para Vehículos Autónomos,H,Guillermo Alfonso Muñiz Hermosillo ,3.00,1.00,2.00,MX/a/2017/015436,30/11/2017,2017,Abandonada,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
70.00,Reconfigurable Digital/Mechanical Gauge ,Medidor Reconfigurable Digital/Mecánico ,H,David Arturo Fabila García ,3.00,0.00,3.00,MX/a/2017/015950,01/12/2017,2017,Abandonada,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
70.00,Reconfigurable Digital/Mechanical Gauge ,Medidor Reconfigurable Digital/Mecánico ,H,Gerardo Murillo Heredia ,3.00,0.00,3.00,MX/a/2017/015950,01/12/2017,2017,Abandonada,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
70.00,Reconfigurable Digital/Mechanical Gauge ,Medidor Reconfigurable Digital/Mecánico ,H,José Luis Aguirre Osuna ,3.00,0.00,3.00,MX/a/2017/015950,01/12/2017,2017,Abandonada,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
71.00,Secure System for Gas Station Payment ,Sistema de Seguridad para Pago en Gasolineria ,H,Rene Guevara Fabian ,3.00,1.00,2.00,MX/a/2017/016563,15/12/2017,2017,Abandonada,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
71.00,Secure System for Gas Station Payment ,Sistema de Seguridad para Pago en Gasolineria ,M,Fabiola Lizeth Corchado López ,3.00,1.00,2.00,MX/a/2017/016563,15/12/2017,2017,Abandonada,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
71.00,Secure System for Gas Station Payment ,Sistema de Seguridad para Pago en Gasolineria ,H,Allan Ulises Macías Silva ,3.00,1.00,2.00,MX/a/2017/016563,15/12/2017,2017,Abandonada,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
72.00,Speed Limit Advisor,Indicador de Velocidad Limite ,H,Eduardo Alberto Oviedo Torres ,3.00,0.00,3.00,MX/a/2017/016378,14/12/2017,2017,Abandonada,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
72.00,Speed Limit Advisor,Indicador de Velocidad Limite ,H,Christian Contreras Congález ,3.00,0.00,3.00,MX/a/2017/016378,14/12/2017,2017,Abandonada,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
72.00,Speed Limit Advisor,Indicador de Velocidad Limite ,H,Moises Castañeda Fonseca ,3.00,0.00,3.00,MX/a/2017/016378,14/12/2017,2017,Abandonada,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
73.00,On Board Diagnostics (OBD2) Through Infotainment's in Place Bluetooth System ,Diagnóstico a Bordo en Vehíuclo (OB2) a Través de Sistemas de Información y Entretenimiento. ,H,Juan José Pacho Mendez ,3.00,1.00,2.00,MX/a/2017/015951,07/12/2017,2017,Abandonada,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
73.00,On Board Diagnostics (OBD2) Through Infotainment's in Place Bluetooth System ,Diagnóstico a Bordo en Vehíuclo (OB2) a Través de Sistemas de Información y Entretenimiento. ,H,Jorge Eduardo Flores Salcido ,3.00,1.00,2.00,MX/a/2017/015951,07/12/2017,2017,Abandonada,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
73.00,On Board Diagnostics (OBD2) Through Infotainment's in Place Bluetooth System ,Diagnóstico a Bordo en Vehíuclo (OB2) a Través de Sistemas de Información y Entretenimiento. ,M,Karen Anaid Sanchez Ramirez,3.00,1.00,2.00,MX/a/2017/015951,07/12/2017,2017,Abandonada,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
74.00,Low Fuel System Monitor ,Sistema de Monitoreo de Bajo Nivel de Cmbustible ,H,Edgar Rivera Vicentillo,3.00,0.00,3.00,MX/a/2017/015616,01/12/2017,2017,Abandonada,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
74.00,Low Fuel System Monitor ,Sistema de Monitoreo de Bajo Nivel de Cmbustible ,H,Armienta López Victor Raul,3.00,0.00,3.00,MX/a/2017/015616,01/12/2017,2017,Abandonada,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
74.00,Low Fuel System Monitor ,Sistema de Monitoreo de Bajo Nivel de Cmbustible ,H,Arturo Ramírez Méndez ,3.00,0.00,3.00,MX/a/2017/015616,01/12/2017,2017,Abandonada,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
75.00,Cavitation Principle for Automotive Cooling System ,Principio de Cavitación para Sistemas de Refrigeración Automotriz ,H,Jose Eduardo Ramirez Mendoza,4.00,0.00,4.00,MX/a/2017/016470,15/12/2017,2017,Abandonada,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
75.00,Cavitation Principle for Automotive Cooling System ,Principio de Cavitación para Sistemas de Refrigeración Automotriz ,H,Jorge Enrique Muñoz Diaz ,4.00,0.00,4.00,MX/a/2017/016470,15/12/2017,2017,Abandonada,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
75.00,Cavitation Principle for Automotive Cooling System ,Principio de Cavitación para Sistemas de Refrigeración Automotriz ,H,Enrique Rodriguez Tscano ,4.00,0.00,4.00,MX/a/2017/016470,15/12/2017,2017,Abandonada,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
75.00,Cavitation Principle for Automotive Cooling System ,Principio de Cavitación para Sistemas de Refrigeración Automotriz ,H,José Alonso Vallejo Ríos ,4.00,0.00,4.00,MX/a/2017/016470,15/12/2017,2017,Abandonada,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
76.00,Speed Reduction of a Vehicule by the Automatic Pressure Control of the Tires to Reduce Accidents When the Brakes Fail ,"Reducción de Velocidad de un Vehíuclo por el control Automatico de la Presión de los Neumáticos, Para Reducir Accidentes Cuando los frenos Fallan",H,Martinez Santiz Gibran Roel ,2.00,0.00,2.00,MX/a/2017/016471,15/12/2017,2017,Otorgada ,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
76.00,Speed Reduction of a Vehicule by the Automatic Pressure Control of the Tires to Reduce Accidents When the Brakes Fail ,"Reducción de Velocidad de un Vehíuclo por el control Automatico de la Presión de los Neumáticos, Para Reducir Accidentes Cuando los frenos Fallan",H,David Mora Barreto ,2.00,0.00,2.00,MX/a/2017/016471,15/12/2017,2017,Otorgada ,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
77.00,Anti-Thief System for Hybrid Car Batteries ,Sistema Anti Robo Para Baterias de Auto Híbrido ,H,Roberto Rairez Marin ,3.00,0.00,3.00,MX/a/2017/015978,07/12/2017,2017,Abandonada,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
77.00,Anti-Thief System for Hybrid Car Batteries ,Sistema Anti Robo Para Baterias de Auto Híbrido ,H,Leonardo Raul Castañeda Colin,3.00,0.00,3.00,MX/a/2017/015978,07/12/2017,2017,Abandonada,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
77.00,Anti-Thief System for Hybrid Car Batteries ,Sistema Anti Robo Para Baterias de Auto Híbrido ,H,Rodriguez Armando Casados Castillo ,3.00,0.00,3.00,MX/a/2017/015978,07/12/2017,2017,Abandonada,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
78.00,Relay Attack Defense Using RF Rime-of_Flight Measurement,Defensa de Ataque de Retransmisión Utilizando Medición de Tiempo de Propagación ,H,Jesús Enrique Saavedra  Balbi ,4.00,0.00,4.00,MX/a/2017/015954,07/12/2017,2017,Otorgada ,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
78.00,Relay Attack Defense Using RF Rime-of_Flight Measurement,Defensa de Ataque de Retransmisión Utilizando Medición de Tiempo de Propagación ,H,Francisco Javier Ruvalcaba Moya ,4.00,0.00,4.00,MX/a/2017/015954,07/12/2017,2017,Otorgada ,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
78.00,Relay Attack Defense Using RF Rime-of_Flight Measurement,Defensa de Ataque de Retransmisión Utilizando Medición de Tiempo de Propagación ,H,Hazael Alejandro Mendoza Téllez ,4.00,0.00,4.00,MX/a/2017/015954,07/12/2017,2017,Otorgada ,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
78.00,Relay Attack Defense Using RF Rime-of_Flight Measurement,Defensa de Ataque de Retransmisión Utilizando Medición de Tiempo de Propagación ,H,ALfredo Gómez Pelayo ,4.00,0.00,4.00,MX/a/2017/015954,07/12/2017,2017,Otorgada ,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
79.00,Automatic Device for Locking Wheel Screw ,Dispositivo Automatico Para el Bloqueo de Tornillos de Rueda ,H,Francisco Javier Fernandez Sanchez ,4.00,0.00,4.00,MX/a/2017/016381,14/12/2017,2017,Abandonada,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
79.00,Automatic Device for Locking Wheel Screw ,Dispositivo Automatico Para el Bloqueo de Tornillos de Rueda ,H,Pablo Rodriguez Arce ,4.00,0.00,4.00,MX/a/2017/016381,14/12/2017,2017,Abandonada,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
79.00,Automatic Device for Locking Wheel Screw ,Dispositivo Automatico Para el Bloqueo de Tornillos de Rueda ,H,Omar Gallardo Garcia ,4.00,0.00,4.00,MX/a/2017/016381,14/12/2017,2017,Abandonada,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
79.00,Automatic Device for Locking Wheel Screw ,Dispositivo Automatico Para el Bloqueo de Tornillos de Rueda ,H,Michel Abraham Palazuelos Sánchez ,4.00,0.00,4.00,MX/a/2017/016381,14/12/2017,2017,Abandonada,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
80.00,V2X/C2X Event Data Recorder ,Grabadora de Datos de Eventos V2X/C2X,M,Raquel Agraz Franco ,3.00,1.00,2.00,MX/a/2017/015956,07/12/2017,2017,Abandonada,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
80.00,V2X/C2X Event Data Recorder ,Grabadora de Datos de Eventos V2X/C2X,H,Eloy Lopez Alvarez ,3.00,1.00,2.00,MX/a/2017/015956,07/12/2017,2017,Abandonada,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
80.00,V2X/C2X Event Data Recorder ,Grabadora de Datos de Eventos V2X/C2X,H,Tomas Valenzuela Castro ,3.00,1.00,2.00,MX/a/2017/015956,07/12/2017,2017,Abandonada,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
81.00,Key For Finder Inside Vehícule Using Current LF Architecture ,"Buscador de Control Remoto Tipo Llavero, Dentro del Vehículo que Utiliza una Arquitectura actualizada de Baja Frecuencia ",H,Lopez Pacas Leonardo Javier ,4.00,1.00,3.00,MX/a/2017/016473,15/12/2017,2017,Abandonada,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
81.00,Key For Finder Inside Vehícule Using Current LF Architecture ,"Buscador de Control Remoto Tipo Llavero, Dentro del Vehículo que Utiliza una Arquitectura actualizada de Baja Frecuencia ",H,Hugo Iván UH Peredo ,4.00,1.00,3.00,MX/a/2017/016473,15/12/2017,2017,Abandonada,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
81.00,Key For Finder Inside Vehícule Using Current LF Architecture ,"Buscador de Control Remoto Tipo Llavero, Dentro del Vehículo que Utiliza una Arquitectura actualizada de Baja Frecuencia ",M,Roxana Alejandra Ponce Orozco ,4.00,1.00,3.00,MX/a/2017/016473,15/12/2017,2017,Abandonada,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
81.00,Key For Finder Inside Vehícule Using Current LF Architecture ,"Buscador de Control Remoto Tipo Llavero, Dentro del Vehículo que Utiliza una Arquitectura actualizada de Baja Frecuencia ",H,Rene Antonio Padilla Moreno ,4.00,1.00,3.00,MX/a/2017/016473,15/12/2017,2017,Abandonada,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
82.00,Antithief and Glass Protection Fibercarbon for Vehicles ,Fibra de Carbono Anti Robo y Para Protección de Vidrio de Vehículos ,H,Fausto Aguilar Suárez ,3.00,0.00,3.00,MX/a/2017/015957,07/12/2017,2017,Abandonada,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
82.00,Antithief and Glass Protection Fibercarbon for Vehicles ,Fibra de Carbono Anti Robo y Para Protección de Vidrio de Vehículos ,H,Waldo Gonzalez Carrillo,3.00,0.00,3.00,MX/a/2017/015957,07/12/2017,2017,Abandonada,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
82.00,Antithief and Glass Protection Fibercarbon for Vehicles ,Fibra de Carbono Anti Robo y Para Protección de Vidrio de Vehículos ,H,Benito Espinosa Cervantes ,3.00,0.00,3.00,MX/a/2017/015957,07/12/2017,2017,Abandonada,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
83.00,Key FOB with Extended Battery Life Using Environment Em Fields ,Control Remoto Tipo Llavero que Utiliza un Entorno de Campos Electromagnéticos ,H,Jesús Enrique Saavedra Balbi ,4.00,0.00,4.00,MX/a/2017/016474,15/12/2017,2017,Abandonada,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
83.00,Key FOB with Extended Battery Life Using Environment Em Fields ,Control Remoto Tipo Llavero que Utiliza un Entorno de Campos Electromagnéticos ,H,Alfredo Gomez Pelayo ,4.00,0.00,4.00,MX/a/2017/016474,15/12/2017,2017,Abandonada,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
83.00,Key FOB with Extended Battery Life Using Environment Em Fields ,Control Remoto Tipo Llavero que Utiliza un Entorno de Campos Electromagnéticos ,H,Hazel Alejandro Mendoza Téllez ,4.00,0.00,4.00,MX/a/2017/016474,15/12/2017,2017,Abandonada,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
83.00,Key FOB with Extended Battery Life Using Environment Em Fields ,Control Remoto Tipo Llavero que Utiliza un Entorno de Campos Electromagnéticos ,H,Jorge Luis Amparo Tovar ,4.00,0.00,4.00,MX/a/2017/016474,15/12/2017,2017,Abandonada,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
84.00,Detection System of Auto Parts That Are Being Stolen Through NFC,Sistema de Detección de Auto Partes que Están siendo Robadas a Través de Tecnología Inalámbrica de Corto Alcance (NFC). ,H,David Fernandez Aguilera ,3.00,0.00,3.00,MX/a/2017/016380,14/12/2017,2017,Abandonada,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
84.00,Detection System of Auto Parts That Are Being Stolen Through NFC,Sistema de Detección de Auto Partes que Están siendo Robadas a Través de Tecnología Inalámbrica de Corto Alcance (NFC). ,H,Mario Eduardo Jacobo Solorzano ,3.00,0.00,3.00,MX/a/2017/016380,14/12/2017,2017,Abandonada,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
84.00,Detection System of Auto Parts That Are Being Stolen Through NFC,Sistema de Detección de Auto Partes que Están siendo Robadas a Través de Tecnología Inalámbrica de Corto Alcance (NFC). ,H,Josué Daniel Vázquez Rivas ,3.00,0.00,3.00,MX/a/2017/016380,14/12/2017,2017,Abandonada,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
85.00,Dashboard Interactive with Widgets ,Tablero Interactivo con Aplicaciones ,H,Oscar Gabriel Arevalo Loyola ,3.00,2.00,1.00,MX/a/2018/002751,02/03/2018,2017,Abandonada,78.00,69.00,9.00,26.00,"$1,204,500.00","$445,500.00",$0.00,"$1,650,000.00",84.00
